
Testing FCFS
Proces: 1 [(2, 9), (3, 4), (5, 9), (5, 19), (5, 20), (7, 4), (10, 11), (10, 18), (10, 11), (11, 13), (11, 5), (11, 12), (12, 3), (12, 12), (12, 13), (13, 10), (14, 8), (14, 2), (15, 13), (18, 10), (18, 18), (18, 8), (19, 2), (23, 7), (23, 2), (23, 2), (24, 19), (24, 8), (24, 6), (25, 9), (28, 8), (28, 3), (30, 10), (30, 7), (33, 2), (33, 3), (35, 17), (35, 15), (36, 5), (40, 19), (42, 8), (42, 14), (44, 14), (45, 16), (47, 6), (49, 14), (51, 10), (53, 19), (55, 11), (56, 17), (56, 3), (57, 3), (60, 18), (60, 3), (61, 12), (61, 7), (62, 19), (63, 12), (64, 5), (64, 15), (65, 16), (65, 16), (68, 20), (69, 7), (69, 14), (70, 16), (70, 1), (70, 10), (70, 11), (72, 6), (74, 7), (75, 10), (76, 13), (77, 18), (77, 3), (77, 19), (77, 1), (78, 7), (78, 16), (78, 9), (78, 4), (79, 9), (79, 4), (80, 11), (81, 18), (81, 7), (82, 10), (86, 19), (86, 1), (87, 11), (87, 13), (89, 7), (90, 1), (90, 3), (90, 4), (90, 17), (91, 4), (93, 11), (93, 2), (96, 4)]
Proces: 2 [(0, 18), (1, 13), (2, 1), (3, 8), (4, 3), (7, 16), (10, 1), (11, 15), (13, 6), (13, 9), (14, 20), (14, 1), (15, 11), (16, 17), (17, 19), (21, 17), (21, 6), (21, 9), (23, 10), (23, 3), (23, 12), (24, 9), (26, 4), (26, 14), (29, 12), (29, 8), (29, 1), (29, 13), (31, 9), (32, 4), (32, 17), (34, 8), (37, 1), (37, 3), (38, 10), (39, 20), (39, 13), (40, 1), (43, 14), (46, 18), (46, 19), (47, 16), (49, 14), (49, 17), (50, 6), (53, 18), (53, 6), (53, 12), (54, 1), (54, 17), (57, 1), (58, 9), (58, 20), (58, 11), (60, 13), (60, 2), (61, 8), (62, 1), (62, 12), (63, 15), (63, 18), (63, 16), (64, 13), (64, 14), (65, 12), (66, 13), (67, 8), (69, 18), (69, 20), (70, 7), (70, 19), (70, 9), (73, 12), (75, 4), (75, 16), (75, 2), (75, 19), (77, 1), (77, 1), (78, 11), (81, 6), (82, 4), (82, 10), (83, 18), (84, 17), (84, 18), (85, 7), (87, 7), (89, 15), (89, 12), (92, 17), (93, 1), (93, 17), (95, 13), (96, 9), (97, 3), (97, 15), (97, 15), (98, 7), (99, 18)]
Proces: 3 [(0, 12), (3, 12), (3, 6), (4, 19), (5, 1), (5, 8), (7, 3), (7, 19), (7, 14), (7, 12), (8, 1), (9, 11), (10, 12), (10, 4), (11, 11), (13, 1), (16, 6), (16, 6), (17, 17), (17, 9), (17, 2), (19, 2), (20, 13), (21, 10), (21, 4), (23, 15), (24, 4), (27, 20), (29, 4), (30, 8), (31, 16), (31, 7), (31, 1), (32, 20), (32, 2), (33, 13), (33, 20), (34, 2), (34, 19), (35, 16), (36, 11), (39, 10), (39, 7), (39, 15), (41, 6), (41, 6), (41, 5), (43, 9), (45, 15), (46, 15), (46, 20), (46, 6), (47, 18), (47, 9), (48, 14), (49, 19), (53, 17), (53, 1), (55, 13), (56, 17), (57, 5), (59, 11), (59, 12), (60, 8), (62, 8), (62, 17), (62, 1), (62, 17), (64, 17), (64, 20), (65, 12), (65, 18), (66, 1), (66, 19), (67, 6), (70, 20), (71, 6), (71, 17), (72, 18), (75, 12), (75, 14), (78, 9), (78, 4), (79, 5), (83, 17), (83, 2), (87, 6), (89, 18), (90, 17), (91, 15), (91, 2), (92, 17), (92, 15), (92, 1), (94, 6), (94, 2), (96, 17), (97, 12), (98, 16), (99, 13)]
Proces: 4 [(1, 16), (2, 19), (4, 5), (4, 7), (5, 10), (7, 11), (7, 1), (8, 20), (8, 14), (9, 4), (11, 12), (13, 20), (13, 1), (15, 3), (15, 2), (19, 1), (19, 2), (20, 19), (22, 12), (23, 11), (29, 7), (29, 5), (30, 19), (30, 2), (33, 18), (33, 14), (33, 17), (34, 16), (34, 10), (35, 20), (35, 17), (37, 14), (38, 14), (38, 18), (38, 19), (38, 13), (39, 1), (39, 17), (40, 1), (42, 18), (43, 1), (43, 11), (43, 1), (44, 18), (46, 4), (46, 5), (47, 20), (47, 9), (48, 19), (48, 13), (48, 20), (49, 19), (49, 20), (50, 19), (52, 10), (53, 17), (53, 19), (55, 8), (56, 5), (58, 17), (59, 12), (60, 19), (60, 13), (61, 16), (63, 7), (64, 9), (66, 13), (69, 5), (69, 18), (69, 19), (72, 4), (72, 5), (74, 14), (74, 8), (75, 5), (76, 13), (76, 18), (76, 11), (76, 9), (77, 20), (77, 9), (78, 9), (80, 15), (81, 5), (81, 19), (85, 3), (85, 6), (86, 12), (87, 18), (89, 11), (91, 16), (91, 14), (91, 7), (94, 1), (94, 16), (97, 2), (97, 12), (98, 14), (99, 1), (99, 10)]
Proces: 5 [(1, 12), (2, 13), (2, 11), (4, 8), (4, 9), (5, 12), (5, 15), (6, 11), (7, 2), (8, 14), (10, 2), (11, 3), (11, 20), (11, 18), (12, 2), (13, 13), (13, 9), (14, 2), (15, 11), (15, 17), (18, 7), (18, 11), (19, 14), (21, 10), (21, 12), (22, 8), (22, 10), (24, 14), (24, 15), (24, 2), (25, 15), (25, 11), (27, 1), (27, 16), (28, 17), (29, 10), (30, 10), (30, 15), (31, 14), (32, 13), (32, 8), (33, 2), (34, 7), (35, 6), (35, 6), (35, 19), (36, 14), (36, 11), (36, 11), (37, 12), (37, 19), (37, 20), (37, 5), (37, 14), (38, 1), (41, 18), (41, 2), (42, 19), (43, 13), (45, 14), (46, 10), (52, 16), (53, 15), (53, 9), (54, 20), (54, 7), (56, 7), (57, 6), (58, 1), (59, 9), (60, 9), (61, 5), (61, 7), (64, 8), (66, 18), (67, 7), (68, 12), (69, 16), (70, 10), (72, 4), (72, 13), (73, 4), (74, 8), (76, 6), (76, 5), (77, 2), (78, 8), (79, 3), (82, 9), (82, 16), (83, 7), (89, 11), (89, 3), (90, 10), (90, 8), (94, 6), (95, 19), (97, 2), (97, 17), (98, 8)]
Proces: 6 [(0, 1), (1, 7), (2, 12), (2, 12), (3, 15), (4, 8), (7, 9), (8, 11), (8, 10), (10, 5), (10, 20), (11, 10), (11, 16), (13, 19), (13, 6), (14, 13), (15, 8), (16, 5), (16, 14), (17, 20), (18, 9), (18, 2), (18, 15), (19, 2), (20, 4), (20, 3), (21, 6), (23, 13), (23, 7), (23, 16), (25, 18), (26, 7), (26, 11), (26, 5), (31, 13), (34, 17), (37, 11), (37, 2), (37, 16), (38, 20), (39, 6), (43, 9), (43, 6), (44, 9), (45, 10), (46, 13), (46, 5), (46, 3), (47, 16), (49, 10), (51, 1), (51, 5), (52, 9), (53, 6), (53, 10), (55, 3), (55, 12), (57, 2), (58, 14), (59, 12), (60, 6), (61, 11), (61, 6), (61, 9), (62, 11), (63, 11), (65, 12), (65, 20), (66, 15), (67, 9), (68, 13), (68, 6), (69, 4), (70, 14), (70, 17), (73, 8), (74, 1), (75, 1), (76, 11), (79, 9), (79, 15), (79, 7), (79, 6), (80, 16), (81, 2), (83, 2), (86, 7), (87, 11), (88, 17), (89, 18), (90, 6), (92, 10), (92, 2), (93, 19), (94, 12), (94, 20), (95, 12), (99, 8), (99, 15), (99, 12)]
Proces: 7 [(0, 20), (1, 7), (1, 14), (2, 11), (2, 1), (3, 12), (4, 1), (6, 6), (9, 17), (9, 16), (10, 7), (11, 12), (12, 2), (12, 15), (14, 12), (15, 3), (18, 19), (18, 8), (23, 1), (24, 19), (24, 5), (25, 14), (25, 4), (28, 5), (29, 4), (31, 20), (31, 3), (32, 19), (32, 17), (34, 16), (34, 20), (34, 11), (34, 20), (37, 5), (37, 18), (38, 14), (39, 7), (40, 1), (41, 12), (45, 19), (46, 7), (46, 16), (47, 13), (47, 12), (48, 16), (52, 9), (52, 14), (54, 11), (54, 20), (54, 16), (55, 10), (56, 4), (57, 13), (57, 16), (57, 11), (57, 2), (60, 12), (60, 16), (62, 9), (62, 7), (62, 5), (62, 6), (63, 10), (64, 17), (65, 19), (66, 9), (67, 13), (67, 16), (68, 18), (68, 4), (70, 9), (71, 20), (73, 3), (75, 7), (75, 2), (76, 7), (77, 9), (77, 15), (78, 16), (78, 19), (79, 10), (79, 13), (81, 15), (82, 17), (82, 13), (83, 12), (84, 20), (84, 6), (86, 16), (87, 4), (87, 3), (88, 20), (89, 10), (89, 17), (92, 6), (92, 13), (95, 13), (95, 9), (96, 7), (99, 6)]
Proces: 8 [(0, 5), (1, 16), (2, 15), (3, 3), (4, 3), (5, 18), (6, 8), (7, 19), (7, 10), (7, 7), (8, 8), (8, 3), (8, 7), (9, 18), (9, 4), (10, 19), (10, 6), (11, 18), (12, 12), (13, 19), (13, 16), (13, 1), (14, 11), (16, 8), (16, 17), (17, 10), (19, 16), (19, 8), (21, 11), (21, 15), (23, 8), (27, 10), (28, 19), (29, 5), (33, 10), (34, 16), (35, 5), (35, 14), (36, 20), (36, 13), (38, 8), (38, 17), (41, 5), (43, 12), (45, 6), (45, 13), (46, 20), (47, 4), (47, 20), (50, 2), (50, 13), (50, 13), (51, 18), (51, 13), (53, 5), (53, 2), (53, 18), (54, 2), (54, 11), (55, 14), (55, 18), (56, 6), (58, 12), (58, 18), (59, 19), (63, 18), (63, 11), (63, 2), (63, 3), (64, 7), (65, 14), (68, 4), (69, 4), (70, 3), (71, 6), (72, 4), (72, 2), (72, 11), (72, 5), (73, 10), (73, 7), (73, 11), (74, 2), (74, 13), (74, 15), (75, 6), (76, 16), (76, 2), (78, 4), (79, 7), (79, 2), (81, 13), (82, 19), (84, 8), (85, 3), (85, 12), (87, 15), (89, 3), (93, 15), (97, 18)]
Proces: 9 [(1, 13), (4, 16), (4, 14), (4, 3), (8, 18), (10, 5), (10, 7), (11, 16), (12, 3), (12, 18), (14, 6), (15, 10), (15, 4), (17, 11), (18, 20), (18, 19), (19, 12), (19, 17), (19, 13), (20, 20), (22, 13), (22, 6), (24, 2), (24, 13), (24, 1), (25, 10), (25, 6), (26, 13), (26, 19), (26, 2), (28, 12), (28, 9), (28, 2), (29, 12), (29, 1), (29, 5), (31, 17), (31, 1), (32, 13), (36, 4), (37, 11), (38, 14), (38, 4), (43, 8), (43, 6), (43, 14), (44, 11), (46, 1), (46, 15), (48, 5), (48, 4), (49, 20), (49, 19), (52, 19), (53, 3), (54, 5), (56, 10), (56, 4), (57, 14), (58, 16), (58, 13), (58, 19), (60, 13), (62, 5), (63, 19), (63, 17), (63, 16), (64, 20), (64, 18), (65, 3), (65, 3), (66, 14), (67, 10), (67, 12), (71, 12), (72, 14), (72, 13), (74, 15), (75, 3), (77, 3), (77, 8), (79, 2), (82, 1), (82, 16), (82, 16), (82, 5), (84, 9), (84, 2), (84, 1), (84, 4), (88, 3), (88, 11), (89, 9), (89, 7), (89, 12), (91, 16), (92, 4), (92, 15), (97, 17), (97, 19)]
Proces: 10 [(1, 2), (1, 12), (3, 2), (4, 4), (5, 7), (5, 12), (6, 9), (7, 1), (7, 15), (8, 13), (8, 14), (10, 11), (10, 5), (11, 9), (11, 18), (12, 13), (13, 17), (14, 5), (15, 19), (17, 6), (17, 1), (17, 10), (18, 6), (19, 9), (20, 6), (21, 15), (21, 9), (21, 4), (22, 9), (25, 7), (26, 13), (26, 13), (27, 8), (30, 2), (30, 14), (30, 6), (35, 11), (35, 5), (36, 5), (37, 7), (37, 20), (37, 4), (39, 10), (41, 3), (42, 1), (42, 1), (43, 17), (44, 4), (44, 8), (47, 9), (48, 16), (48, 20), (48, 18), (50, 7), (51, 7), (52, 2), (53, 3), (54, 16), (54, 8), (55, 4), (56, 9), (57, 7), (57, 5), (59, 20), (59, 20), (61, 18), (64, 19), (64, 3), (65, 12), (68, 7), (69, 1), (70, 20), (71, 20), (71, 12), (72, 3), (73, 16), (73, 1), (74, 12), (75, 19), (76, 1), (77, 2), (77, 5), (78, 17), (81, 3), (86, 1), (86, 8), (86, 17), (89, 2), (89, 19), (90, 1), (90, 13), (90, 18), (92, 14), (92, 14), (93, 13), (94, 4), (94, 19), (95, 4), (97, 13), (99, 3)]
